,Unnamed: 0,obj_ID,alpha,delta,u,g,r,i,z,class,redshift,MJD
count,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000,100000.0,100000.0
unique,,,,,,,,,,3,,
top,,,,,,,,,,GALAXY,,
freq,,,,,,,,,,59445,,
mean,49999.5,1.2376647218145772e+18,177.62911662163907,24.1353045953525,21.98046826899982,20.531386961600006,19.645762146000077,19.084854232029855,18.66881032222997,,0.5766608040203042,55588.6475
std,28867.65779668774,8438559894562.67,96.50224089833225,19.644665404293633,31.769290803750323,31.750292329083205,1.8547596943455276,1.7578947904903852,31.728151785953937,,0.7307072761888128,1808.4842328524269
min,0.0,1.23764594290439e+18,0.0055278279239701,-18.7853280771825,-9999.0,-9999.0,9.82207,9.469903,-9999.0,,-0.009970667,51608.0
25%,24999.75,1.2376591611951194e+18,127.5182215421235,5.146770857937234,20.352352500000002,18.96523,18.1358275,17.732284999999997,17.4606775,,0.054516844999999994,54234.0
50%,49999.5,1.2376634631442929e+18,180.9007001209685,23.64592229835845,22.179135000000002,21.099835,20.12529,19.405144999999997,19.004595000000002,,0.42417325,55868.5
75%,74999.25,1.237668350286447e+18,233.89500494592176,39.90155009764588,23.687440000000002,22.1237675,21.044784999999997,20.396495,19.92112,,0.704154325,56777.0
max,99999.0,1.2376805313563863e+18,359.999809770956,83.00051858898,32.78139,31.60224,29.57186,32.14147,29.38374,,7.011245,58932.0
